,title,date,country,genre,rate
0,Ry?sei,16 November 2013 (Japan),Japan,['Drama'],1
1,Hatsukoi,30 September 2013 (Canada),Japan,[],1
2,Bye Bye Marrano,8 July 2013 (Japan),Japan,[],1
3,Tysyacha,Thriller,Russia,[],1
4,Mr. Home,September 2014 (Japan),Japan,['Comedy'],1
5,The Tokyo Wind Orchestra,2016 (Japan),Japan,[],1
6,A no dentou,1 March 2014 (Japan),Japan,[],1
7,Suguru hi no yamaneko,19 September 2015 (Japan),Japan,[],1
8,Pure Hearts: Into Chinese Showbiz,20 September 2017 (China),China,['Comedy'],1
9,Ushikoku ni mairu,14 November 2015 (Japan),Japan,"['Action', 'Drama']",1
10,Lulu,Drama,USA,[],1
11,Bloody Massacre,4 July 2016 (Russia),Russia,"['Drama', 'Horror']",1
12,6 elementov vremeni,10 June 2016 (Russia),Russia,"['Adventure', 'Drama']",1
13,Ya vas vsyekh ub'yu,6 December 2016 (Russia),Russia,"['Drama', 'Horror']",1
14,Who Killed Red,October 2017 (USA),USA,"['Drama', 'Horror']",1
15,Nakhodka interneta,20 September 2017 (Russia),Ukraine,[],1
16,Kanagawa geijutsu daigaku eizou gakka kenkyuushitsu,16 July 2013 (Japan),Japan,[],1.1
17,Tokyo no hi,31 October 2015 (Japan),Japan,[],1.1
18,Delusion of Persecution,6 July 2016 (Russia),Russia,"['Comedy', 'Drama']",1.1
19,Vozmezdiye,27 September 2016 (Russia),Russia,"['Drama', 'Horror']",1.1
20,"Yes, Sir! 7",2 September 2016 (Taiwan),Taiwan,['Comedy'],1.1
21,Homesick,10 August 2013 (Japan),Japan,[],1.2
22,Elment az ?sz?d,22 May 2013 (Hungary),Hungary,[],1.2
23,Attack of Monster,3 July 2016 (Russia),Russia,"['Comedy', 'Drama']",1.2
24,Neznakomka,4 August 2016 (Russia),Russia,"['Drama', 'Horror']",1.2
25,Extrand,2017 (Japan),Japan,['Comedy'],1.2
26,Vosstavshiy iz myortvykh,17 October 2016 (Russia),Russia,"['Drama', 'Horror']",1.2
27,Ninja the Monster,20 February 2016 (Japan),Japan,"['Action', 'Adventure']",1.3
28,Intrinsic Leverage,1 August 2016 (USA),USA,[],1.3
29,Krolik Black,2 August 2016 (Russia),Russia,"['Drama', 'Horror']",1.3
30,Smolensk,9 September 2016 (Poland),Poland,['Drama'],1.3
31,Tumors 2,11 June 2013 (Russia),Russia,"['Drama', 'Horror']",1.3
32,Fifty Fifty Ball,Romance,UK,[],1.4
33,Right Here Right Now,9 March 2014 (Japan),Japan,[],1.4
34,Bloody Forest,5 July 2016 (Russia),Russia,"['Drama', 'Horror']",1.4
35,Howa Fi Keda,2 January 2014 (Kuwait),Egypt,[],1.5
36,Cenere,10 December 2015 (Italy),Italy,[],1.5
37,Terminal,7 November 2015 (Japan),Japan,[],1.5
38,The Lock In,9 January 2014 (USA),USA,['Drama'],1.5
39,To the Top,2016 (USA),USA,"['Adventure', 'Drama']",1.5
40,Ya zai,18 July 2013 (Taiwan),Taiwan,"['Action', 'Drama']",1.6
41,Bang Bang Alley,9 April 2014 (Philippines),Philippines,['Crime'],1.6
42,De overgave,21 August 2014 (Netherlands),Netherlands,[],1.6
43,Pink,4 March 2016 (Mexico),Mexico,['Comedy'],1.6
