,title,date,country,genre,rate
0,The Abandoned Project X,27 September 2013 (USA),USA,"['Action', 'Sci-Fi']",1.0
1,Tysyacha,Thriller,Russia,[],1.0
2,Ushikoku ni mairu,14 November 2015 (Japan),Japan,"['Action', 'Drama']",1.0
3,Bloody Massacre,4 July 2016 (Russia),Russia,"['Drama', 'Horror']",1.0
4,Forest Tragedy,8 July 2016 (Russia),Russia,['Horror'],1.0
5,Mstitel chelovechestva,31 October 2016 (Russia),Russia,"['Action', 'Horror']",1.0
6,Ya vas vsyekh ub'yu,6 December 2016 (Russia),Russia,"['Drama', 'Horror']",1.0
7,Who Killed Red,October 2017 (USA),USA,"['Drama', 'Horror']",1.0
8,Maldito Amor,23 October 2014 (Chile),Chile,"['Comedy', 'History']",1.1
9,Delusion of Persecution,6 July 2016 (Russia),Russia,"['Comedy', 'Drama']",1.1
10,Prigorodskiy potroshitel 6. Naslediye,22 May 2016 (Russia),Russia,['Horror'],1.1
11,Potroshitel iz prigoroda,15 July 2016 (Russia),Russia,['Horror'],1.1
12,Vozmezdiye,27 September 2016 (Russia),Russia,"['Drama', 'Horror']",1.1
13,Chains of Mephistopheles 2,30 September 2017 (Russia),Russia,['Horror'],1.1
14,Attack of Monster,3 July 2016 (Russia),Russia,"['Comedy', 'Drama']",1.2
15,Neznakomka,4 August 2016 (Russia),Russia,"['Drama', 'Horror']",1.2
16,Vosstavshiy iz myortvykh,17 October 2016 (Russia),Russia,"['Drama', 'Horror']",1.2
17,The Living Dead,22 March 2017 (Russia),Russia,"['Action', 'Horror']",1.2
18,Tayna slendermena. Vsya istoriya,28 March 2017 (Russia),Russia,['Horror'],1.2
19,Ninja the Monster,20 February 2016 (Japan),Japan,"['Action', 'Adventure']",1.3
20,Krolik Black,2 August 2016 (Russia),Russia,"['Drama', 'Horror']",1.3
21,Smolensk,9 September 2016 (Poland),Poland,['Drama'],1.3
22,Tumors 2,11 June 2013 (Russia),Russia,"['Drama', 'Horror']",1.3
23,Bloody Forest,5 July 2016 (Russia),Russia,"['Drama', 'Horror']",1.4
24,Devil's Drain,Mystery,Italy,['Fantasy'],1.4
25,Shark Exorcist,14 August 2015 (USA),USA,"['Action', 'Comedy']",1.5
26,Domo,12 March 2015 (Greece),Spain,['Horror'],1.5
27,Rise of the Dark,31 July 2015 (Russia),Russia,"['Horror', 'Mystery']",1.5
28,Raiders of the Lost Shark,19 May 2015 (USA),USA,"['Action', 'Adventure']",1.6
29,Beyond the Call to Duty,June 2016 (USA),USA,"['Action', 'Drama']",1.7
30,The Forbidden Dimensions,Thriller,USA,['Horror'],1.7
