,title,date,country,genre,rate
0,Maldito Amor,23 October 2014 (Chile),Chile,"['Comedy', 'History']",1.1
1,Fatih'in Fedaisi Kara Murat,16 January 2015 (Turkey),Turkey,"['Action', 'Adventure']",1.8
2,United Passions,19 June 2014 (Serbia),France,"['Drama', 'History']",2.1
3,The Other Side of the Mirror,3 May 2016 (USA),USA,"['Drama', 'Fantasy']",2.4
4,The Broken Key,16 November 2017 (Italy),Italy,"['History', 'Sci-Fi']",2.4
5,"Duarte, traición y gloria",26 January 2014 (Dominican Republic),Dominican Republic,['Drama'],2.5
6,Richard the Lionheart: Rebellion,11 June 2015 (USA),USA,"['Action', 'Adventure']",2.5
7,Blooming Flowers,13 July 2013 (USA),USA,"['Action', 'Adventure']",3.0
8,The Son of Raw's the Roman,19 June 2016 (UK),UK,"['Adventure', 'Fantasy']",3.0
9,"Bolívar, el hombre de las dificultades",16 August 2013 (Venezuela),Venezuela,"['Adventure', 'Biography']",3.0
10,Pedro Calungsod: Batang Martir,25 December 2013 (Philippines),Philippines,"['Biography', 'Crime']",3.1
11,The Lost Legion,22 January 2014 (USA),Czech Republic,"['Action', 'Adventure']",3.1
12,Tanda Putera,29 August 2013 (Malaysia),Malaysia,['Drama'],3.2
13,The Secret Path,June 2014 (USA),UK,"['Fantasy', 'History']",3.3
14,Frankenstein's Monster,3 October 2014 (USA),USA,"['Drama', 'History']",3.5
15,Hymns,Romance,USA,['Drama'],3.6
16,Historia Roja,4 March 2016 (Poland),Poland,"['Drama', 'History']",3.6
17,"Alkiviadis, the Unruly Student of Socrates",4 November 2016 (Greece),Greece,[],3.6
18,The Founding of an Army,3 August 2017 (Hong Kong),China,[],3.6
19,Katherine of Alexandria,6 April 2015 (UK),UK,['Biography'],3.7
20,Carne the Taco Maker,1 June 2014 (USA),USA,[],3.7
21,Master of a Good Name,2 March 2014 (USA),USA,"['Animation', 'Family']",3.8
22,Karaoglan,11 January 2013 (Turkey),Turkey,"['Action', 'Comedy']",3.9
23,Sélection officielle,17 May 2017 (France),France,[],4.0
24,Wang chao de nu ren: Yang Gui Fei,30 July 2015 (China),China,"['Drama', 'History']",4.0
25,Vezir Parmagi,25 January 2017 (Turkey),Turkey,"['Comedy', 'Drama']",4.0
26,Tôkyô Densetsu: Yuganda Ikei Toshi,14 June 2014 (Japan),Japan,[],1.0
27,Ushikoku ni mairu,14 November 2015 (Japan),Japan,"['Action', 'Drama']",1.0
28,Death Forest 3,12 December 2015 (Japan),Japan,[],1.0
29,Chains of Mephistopheles,6 March 2016 (Russia),Russia,[],1.0
30,Bloody Massacre,4 July 2016 (Russia),Russia,"['Drama', 'Horror']",1.0
31,Forest Tragedy,8 July 2016 (Russia),Russia,['Horror'],1.0
32,Desu foresuto kyofu no mori 5,3 September 2016 (Japan),Japan,[],1.0
33,Death Forest 4,3 May 2016 (Japan),Japan,[],1.0
34,Mstitel chelovechestva,31 October 2016 (Russia),Russia,"['Action', 'Horror']",1.0
35,Ya vas vsyekh ub'yu,6 December 2016 (Russia),Russia,"['Drama', 'Horror']",1.0
36,Who Killed Red,October 2017 (USA),USA,"['Drama', 'Horror']",1.0
37,Overdose of Gore: Crime born Crime,10 May 2015 (Russia),Russia,[],1.0
38,Maldito Amor,23 October 2014 (Chile),Chile,"['Comedy', 'History']",1.1
39,Ame onna,4 June 2016 (Japan),Japan,[],1.1
40,Delusion of Persecution,6 July 2016 (Russia),Russia,"['Comedy', 'Drama']",1.1
41,Prigorodskiy potroshitel 6. Naslediye,22 May 2016 (Russia),Russia,['Horror'],1.1
42,Potroshitel iz prigoroda,15 July 2016 (Russia),Russia,['Horror'],1.1
43,Vozmezdiye,27 September 2016 (Russia),Russia,"['Drama', 'Horror']",1.1
44,Trilogy of Bloody Guts,2 November 2015 (USA),Russia,[],1.1
45,Chains of Mephistopheles 2,30 September 2017 (Russia),Russia,['Horror'],1.1
46,Attack of Monster,3 July 2016 (Russia),Russia,"['Comedy', 'Drama']",1.2
47,Neznakomka,4 August 2016 (Russia),Russia,"['Drama', 'Horror']",1.2
48,Vosstavshiy iz myortvykh,17 October 2016 (Russia),Russia,"['Drama', 'Horror']",1.2
49,The Living Dead,22 March 2017 (Russia),Russia,"['Action', 'Horror']",1.2
50,Tayna slendermena. Vsya istoriya,28 March 2017 (Russia),Russia,['Horror'],1.2
51,Razing Sera,July 2017 (USA),USA,['Action'],1.2
52,Dead Walkers: Rise of the 4th Reich,31 July 2013 (USA),UK,[],1.3
53,Kartoffelsalat,23 July 2015 (Germany),Germany,['Comedy'],1.3
54,Ghastlies,16 November 2016 (Canada),Canada,[],1.3
55,Mystery of Faceless Man: History of Monster,16 April 2016 (Russia),Russia,[],1.3
56,Krolik Black,2 August 2016 (Russia),Russia,"['Drama', 'Horror']",1.3
57,Tumors 2,11 June 2013 (Russia),Russia,"['Drama', 'Horror']",1.3
58,River tragedy,10 October 2014 (Russia),Russia,['Comedy'],1.3
59,Bogieville,1 May 2016 (USA),USA,[],1.4
60,"Qin, bie pa",10 July 2015 (China),China,[],1.4
61,Raktharakshassu,28 February 2014 (India),India,[],1.4
62,Bloody Forest,5 July 2016 (Russia),Russia,"['Drama', 'Horror']",1.4
63,Amityville Exorcism,3 January 2017 (USA),USA,[],1.4
64,Devil's Drain,Mystery,Italy,['Fantasy'],1.4
65,My Fair Zombie,14 September 2013 (Canada),Canada,['Horror'],1.5
66,Shark Exorcist,14 August 2015 (USA),USA,"['Action', 'Comedy']",1.5
67,The Lock In,9 January 2014 (USA),USA,['Drama'],1.5
68,Domo,12 March 2015 (Greece),Spain,['Horror'],1.5
69,Monster: The Prehistoric Project,1 December 2016 (Germany),USA,['Horror'],1.5
70,Post-mortem,16 May 2013 (Russia),Russia,[],1.5
71,Rise of the Dark,31 July 2015 (Russia),Russia,"['Horror', 'Mystery']",1.5
72,Birdemic 2: The Resurrection,16 April 2013 (USA),USA,"['Action', 'Comedy']",1.6
73,Bigfoot vs. D.B. Cooper,1 July 2014 (USA),USA,[],1.6
74,Raiders of the Lost Shark,19 May 2015 (USA),USA,"['Action', 'Adventure']",1.6
75,Death Forest 2,21 March 2015 (Japan),Japan,[],1.6
76,The Forbidden Dimensions,Thriller,USA,['Horror'],1.7
77,Krampus: The Christmas Devil,21 August 2017 (USA),USA,"['Action', 'Horror']",1.7
78,Kuso subarashii kono sekai,28 June 2013 (Japan),Japan,[],1.7
79,Homicycle,26 July 2014 (Canada),Canada,[],1.7
80,Jurassic Prey,23 June 2015 (USA),USA,"['Action', 'Adventure']",1.7
81,Krampus: The Devil Returns,4 October 2016 (USA),USA,"['Action', 'Horror']",1.7
82,Little Red Riding Hood,18 February 2016 (USA),USA,['Fantasy'],1.7
83,Death Forest,20 December 2014 (Japan),Japan,[],1.7
84,Marilyn,15 October 2015 (USA),USA,[],1.7
85,Paranormal Sex Tape,24 May 2016 (USA),,[],1.7
86,Opasnost' ryadom,29 November 2016 (Russia),Russia,"['Drama', 'Horror']",1.8
87,Exorcism of the Dead,7 November 2017 (Canada),Canada,[],1.8
88,Dead Forest,23 March 2017 (Russia),Russia,['Horror'],1.8
89,The Dead Will Rise 2,11 January 2013 (USA),USA,[],1.9
90,Isis Rising: Curse of the Lady Mummy,18 January 2013 (India),USA,[],1.9
91,The Mummy Resurrected,1 March 2014 (USA),USA,[],1.9
92,90210 Shark Attack,1 October 2014 (USA),USA,"['Drama', 'Horror']",1.9
93,El Altar: Demasiado tarde para rezar,2013 (Spain),Spain,['Fantasy'],1.9
94,Joker's Wild,June 2016 (USA),USA,['Horror'],1.9
95,Amityville Playhouse,15 April 2016 (Germany),Canada,[],1.9
96,Koshmarnye sny,8 May 2013 (Russia),Russia,[],1.9
97,Prizrak 5: Vozvrashchenie sudby,6 July 2013 (Russia),Russia,"['Crime', 'Drama']",1.9
98,Dracula Reborn,18 May 2015 (UK),USA,[],1.9
99,All Sinner's Night,9 June 2014 (USA),USA,[],1.9
100,Gui zhen,17 January 2014 (China),China,['Horror'],1.9
101,Interstelar 2: Operation Terra 2040,9 May 2016 (Russia),Russia,"['Action', 'Comedy']",1.9
102,Almost Dead,Horror,Italy,[],1.9
103,Exorcism of the 7th Demon,4 April 2017 (USA),USA,[],1.9
104,Death by VHS,17 September 2013 (USA),USA,['Comedy'],2.0
105,Apio Verde,July 2013 (Chile),Chile,"['Drama', 'Horror']",2.0
106,Alien Showdown: The Day the Old West Stood Still,Horror,USA,['Action'],2.0
107,The Taking,13 April 2013 (Australia),USA,['Horror'],2.0
108,Lone Walker,13 May 2013 (UK),UK,['Drama'],2.0
109,Devils of War,15 April 2013 (UK),USA,['Action'],2.0
110,Amy,1 October 2013 (USA),USA,[],2.0
111,Attila,31 December 2013 (USA),USA,"['Action', 'Horror']",2.0
112,The Beast in Heat,Thriller,USA,['Drama'],2.0
113,Nosferatu vs. Father Pipecock & Sister Funk,9 March 2014 (Canada),Canada,"['Adventure', 'Comedy']",2.0
114,Mr D's No Thing Tales,1 May 2015 (USA),USA,[],2.0
115,Kü'fa: Cin Kapani,16 October 2015 (Turkey),Turkey,['Horror'],2.0
116,The Cropsey Incident,11 July 2017 (USA),USA,[],2.0
117,Disciples,12 September 2014 (USA),USA,[],2.1
118,Zombi kanikuly 3D,15 August 2013 (Russia),Russia,['Comedy'],2.1
119,The Hospital 2,26 September 2015 (USA),USA,[],2.1
120,Blood Reunion 3: Hunters,24 February 2015 (USA),USA,['Action'],2.1
121,Viktorville,30 December 2017 (USA),USA,['Horror'],2.1
122,Incall,1 January 2016 (USA),USA,[],2.1
123,Paranormal Retreat,2014 (USA),USA,[],2.1
124,Countrycide,3 August 2017 (Canada),Canada,[],2.1
125,Forsaken,2 February 2016 (USA),USA,[],2.1
126,Nightmare in Russia,19 February 2017 (Russia),Russia,"['Action', 'Adventure']",2.1
127,The Omnipotence of Dreams,Horror,USA,['Comedy'],2.1
128,Lust of the Vampire Girls,2017 (USA),USA,[],2.1
129,Zombex,26 October 2013 (USA),USA,"['Horror', 'Sci-Fi']",2.2
130,The Coven,16 February 2015 (UK),UK,['Fantasy'],2.2
131,Exorcist Chronicles,1 April 2013 (USA),UK,[],2.2
132,Vampire Boys 2: The New Brood,29 January 2013 (USA),USA,[],2.2
133,Paranormal Movie,9 April 2013 (USA),USA,['Comedy'],2.2
134,Lizzie Borden's Revenge,18 October 2013 (USA),USA,[],2.2
135,The Addicted,Horror,UK,[],2.2
136,Seed 2,1 February 2014 (Germany),Germany,[],2.2
137,American Poltergeist,29 May 2015 (USA),USA,['Horror'],2.2
138,"Die Sister, Die!",15 August 2013 (USA),USA,[],2.2
139,The Burning Dead,21 July 2015 (Germany),USA,[],2.2
140,Co-Ed Campfire Carnage,January 2014 (USA),USA,['Comedy'],2.2
141,Arkham Sanitarium: Soul Eater,7 February 2014 (USA),USA,[],2.2
142,Outcall,9 May 2014 (USA),USA,[],2.2
143,Paranormal Extremes: Text Messages from the Dead,1 May 2015 (USA),USA,['Drama'],2.2
144,Johnny Ghoulash Escapes from Creightonville,10 October 2014 (USA),Canada,[],2.2
145,The Ouija Exorcism,6 October 2015 (USA),USA,[],2.2
146,Midnight Whisper,30 October 2015 (China),China,[],2.2
147,Sharkenstein,16 August 2016 (USA),USA,"['Action', 'Adventure']",2.2
148,Dizlayk,22 September 2016 (Russia),Russia,"['Comedy', 'Horror']",2.2
149,A Suburban Fairytale,2017 (UK),UK,[],2.2
150,Paranormal Retreat 2-The Woods Witch,15 December 2016 (USA),USA,[],2.2
151,Ren'ai kitanshû,4 February 2017 (Japan),Japan,['Horror'],2.2
152,The Other One,2 April 2017 (USA),USA,[],2.2
153,Santa Claus: Serial Rapist,22 November 2016 (USA),USA,[],2.2
154,Zombie Ed,22 January 2013 (USA),USA,['Comedy'],2.3
155,Zombie Massacre,26 October 2013 (Japan),Italy,"['Action', 'Horror']",2.3
156,Terror House,19 September 2016 (USA),USA,"['Fantasy', 'Horror']",2.3
157,Avalanche Sharks,1 January 2014 (Canada),Canada,"['Action', 'Adventure']",2.3
158,Amnesiac,1 March 2013 (UK),UK,"['Drama', 'Horror']",2.3
159,Dracula 2012,8 February 2013 (India),India,[],2.3
160,Shock Attack,1 March 2015 (USA),USA,['Horror'],2.3
161,Werewolf Rising,22 September 2014 (UK),USA,[],2.3
162,Dead Rivalry,2014 (Canada),Canada,['Horror'],2.3
163,A Twisted Tale,6 April 2017 (USA),,"['Comedy', 'Horror']",2.3
164,Nocturnal Activity,1 November 2014 (UK),UK,['Horror'],2.3
165,Spin Round,10 February 2017 (UK),UK,['Comedy'],2.3
166,Martian Land,6 October 2015 (USA),USA,"['Action', 'Adventure']",2.3
167,Forest of the Vampire,26 May 2016 (Romania),USA,[],2.3
168,Absolute Zombies,27 October 2015 (USA),USA,[],2.3
169,The Amityville Legacy,7 June 2016 (USA),USA,[],2.3
170,Bigfoot Vs. Zombies,2016 (USA),USA,[],2.3
171,The Ouija Possession,13 December 2016 (USA),USA,[],2.3
172,Night of the Clown,19 August 2016 (USA),USA,[],2.3
173,Una Comedia Macabra,21 September 2017 (Peru),Peru,['Comedy'],2.3
174,Complitation of Horror,13 May 2017 (Russia),Russia,"['Action', 'Adventure']",2.3
175,American Weapon,16 January 2014 (Germany),USA,['Horror'],2.4
176,Paranormal Whacktivity,3 July 2018 (USA),USA,['Comedy'],2.4
177,Toxin,5 February 2014 (Japan),Canada,['Action'],2.4
178,Jurassic Attack,10 March 2016 (South Korea),USA,"['Action', 'Adventure']",2.4
179,Gas Light,15 September 2018 (USA),USA,"['Horror', 'Mystery']",2.4
180,Haunting of the Innocent,1 February 2014 (USA),USA,['Horror'],2.4
181,Zombies of the Living Dead,Sci-Fi,USA,['Action'],2.4
182,666: Kreepy Kerry,2 April 2014 (USA),USA,[],2.4
183,Skeleton Krew,10 September 2015 (Ireland),Ireland,[],2.4
184,The Fiancé,11 November 2016 (USA),USA,[],2.4
185,Female Werewolf,2015 (USA),Canada,[],2.4
186,Krampus: The Reckoning,3 November 2015 (USA),USA,[],2.4
187,The Duplex,6 March 2015 (Nigeria),Nigeria,[],2.4
188,Kabr-i Cin Mühür,22 April 2016 (Turkey),Turkey,[],2.4
189,Knights of the Damned,25 September 2017 (UK),UK,"['Action', 'Fantasy']",2.4
190,The Crossbreed,6 March 2018 (USA),USA,['Horror'],2.4
191,The Devil's Warehouse,Horror,USA,[],2.4
192,Blood Dynasty,31 October 2017 (USA),Canada,[],2.4
193,Ripple,19 October 2017 (USA),USA,[],2.4
194,Gialli,10 July 2015 (Russia),Russia,"['Crime', 'Horror']",2.4
195,Voodoo Rising,2 October 2016 (USA),USA,[],2.5
196,Crying Wolf,15 August 2016 (UK),UK,['Comedy'],2.5
197,The Secret Village,16 October 2013 (Sweden),USA,"['Horror', 'Mystery']",2.5
198,Iron Wolf,13 September 2013 (Germany),Germany,[],2.5
199,American Conjuring,11 April 2016 (Canada),Canada,[],2.5
200,Razors: The Return of Jack the Ripper,8 May 2017 (UK),UK,"['Fantasy', 'Horror']",2.5
201,You Will Love Me,31 August 2013 (USA),USA,"['Horror', 'Mystery']",2.5
202,Dv,30 January 2013 (USA),USA,[],2.5
203,The Lake on Clinton Road,17 July 2015 (USA),USA,[],2.5
204,Poseidon Rex,10 January 2014 (India),USA,"['Action', 'Adventure']",2.5
205,The Vatican Exorcisms,14 August 2013 (Philippines),Italy,[],2.5
206,Day of the Mummy,20 October 2014 (UK),USA,[],2.5
207,Evil Souls,1 October 2015 (UK),UK,[],2.5
208,The Library,3 May 2014 (UK),UK,['Horror'],2.5
209,Voodoo Possession,14 January 2014 (USA),USA,"['Drama', 'Horror']",2.5
210,Zombie Isle,7 October 2014 (USA),USA,[],2.5
211,Abandoned Dead,4 November 2015 (USA),USA,"['Crime', 'Horror']",2.5
212,Zombie Massacre 2: Reich of the Dead,8 June 2015 (UK),Canada,['Horror'],2.5
213,Kosa,31 October 2014 (Russia),Russia,[],2.5
214,Dollz,2016 (USA),USA,[],2.5
215,Playing with Dolls: Bloodlust,2016 (USA),USA,[],2.5
216,Gray,10 October 2015 (USA),USA,[],2.5
217,Charlie Charlie,21 October 2016 (USA),USA,[],2.5
218,The Doll,8 December 2017 (USA),USA,"['Fantasy', 'Horror']",2.5
219,Krampus Unleashed,1 November 2016 (USA),USA,[],2.5
220,Alp,25 October 2016 (USA),USA,[],2.5
221,Demon Mind,31 January 2017 (Russia),Russia,[],2.5
222,Anna,1 March 2017 (USA),USA,[],2.5
223,Reipu zonbi gaiden: Hâdokoa obu za deddo,13 August 2017 (Japan),Japan,[],2.5
224,Not Alone,5 October 2015 (UK),UK,[],2.6
225,The Brides of Sodom,29 January 2013 (USA),USA,"['Fantasy', 'Horror']",2.6
226,The Cloth,2 July 2013 (USA),USA,"['Action', 'Fantasy']",2.6
227,Muck,17 February 2016 (Philippines),USA,[],2.6
228,Fractured,17 April 2015 (USA),USA,"['Drama', 'Horror']",2.6
229,Hansel & Gretel: Warriors of Witchcraft,22 January 2013 (USA),USA,"['Action', 'Adventure']",2.6
230,Slink,14 June 2013 (USA),USA,['Horror'],2.6
231,The Merchant,3 March 2013 (USA),UK,"['Drama', 'Horror']",2.6
232,Quarantine L.A.,17 March 2016 (South Korea),USA,['Horror'],2.6
233,Silverhide,6 April 2015 (UK),UK,"['Horror', 'Mystery']",2.6
234,The Wake,4 July 2017 (USA),USA,[],2.6
235,Ballet of Blood,1 March 2016 (USA),USA,[],2.6
236,Mega Shark vs. Mecha Shark,28 January 2014 (USA),USA,"['Action', 'Adventure']",2.6
237,Fields of the Dead,10 September 2014 (Philippines),USA,[],2.6
238,Optica,1 November 2013 (USA),USA,[],2.6
239,The Exorcism of Anna Ecklund,7 March 2016 (UK),UK,[],2.6
240,The Night Seekers,30 October 2014 (USA),USA,[],2.6
241,Jogo do Copo,July 2014 (Brazil),Brazil,"['Fantasy', 'Horror']",2.6
242,Playing with Dolls,6 March 2015 (Germany),USA,[],2.6
243,Gu dao jing hun 2,26 January 2013 (China),China,"['Drama', 'Fantasy']",2.6
244,Violent Shit: The Movie,17 July 2015 (South Korea),Italy,[],2.6
245,The Last Hope,24 November 2017 (Australia),Australia,[],2.6
246,Asian Ghost Story,31 October 2016 (USA),Canada,['Action'],2.6
247,Girls,28 October 2016 (India),India,['Horror'],2.6
248,Sinsiran: Yasak ask,26 May 2017 (Turkey),Turkey,"['Drama', 'Horror']",2.6
249,12:06 Rumah Kucing,10 August 2017 (Indonesia),Indonesia,[],2.6
250,Mythily Veendum Varunnu,21 July 2017 (India),India,[],2.6
251,Asylum,4 April 2014 (Japan),USA,['Comedy'],2.7
252,Alienate,5 May 2017 (USA),USA,"['Drama', 'Horror']",2.7
253,The Hospital,15 February 2013 (USA),USA,[],2.7
254,Midway - Tra la vita e la morte,11 April 2013 (Italy),Italy,['Horror'],2.7
255,Final Footage,2 January 2013 (USA),USA,[],2.7
256,Ridge War Z,5 November 2013 (USA),USA,"['Horror', 'Thriller']",2.7
257,Camp Blood First Slaughter,20 May 2014 (USA),USA,['Horror'],2.7
258,Los resucitados,7 October 2017 (Spain),Spain,['Fantasy'],2.7
259,Doll Killer,2013 (USA),USA,[],2.7
260,Breakdown Lane,5 January 2017 (USA),Canada,['Drama'],2.7
261,Hazard Jack,13 May 2014 (USA),USA,[],2.7
262,Siren Song,15 January 2016 (USA),UK,['Horror'],2.7
263,Sleeping Beauty,16 July 2014 (South Korea),USA,"['Adventure', 'Fantasy']",2.7
264,Don't Fuck in the Woods,25 October 2016 (USA),USA,[],2.7
265,On the Brain,12 July 2016 (USA),USA,"['Crime', 'Horror']",2.7
266,The Final Project,4 March 2016 (USA),USA,['Horror'],2.7
267,Trip to Bhangarh: Asia's Most Haunted Place,28 August 2014 (India),India,['Horror'],2.7
268,2 Jennifer,3 June 2016 (USA),USA,[],2.7
269,Alkarisi: Cinnet,26 June 2015 (Turkey),Turkey,['Horror'],2.7
270,Canvas of Death,1 February 2016 (USA),USA,['Horror'],2.7
271,Insane,Horror,USA,[],2.7
272,Evil Exhumed,1 June 2016 (USA),Canada,[],2.7
273,Bloody Diarhea,15 April 2015 (Russia),Russia,[],2.7
274,Realms Hunt for the Shadow Man,20 January 2016 (USA),USA,"['Action', 'Horror']",2.7
275,Sowkarpettai,4 March 2016 (India),India,['Horror'],2.7
276,We All Fall Down,12 August 2016 (USA),USA,"['Adventure', 'Drama']",2.7
277,The Domicile,8 August 2017 (USA),USA,[],2.7
278,Ghost Villa,3 June 2016 (India),India,[],2.7
279,The Doll Master,6 March 2018 (Brazil),UK,[],2.7
280,Black Creek,2017 (USA),USA,[],2.7
281,The Cryptic Tale of Beta Alpha Nu,31 October 2016 (USA),USA,[],2.7
282,Hellriser,9 October 2017 (UK),UK,[],2.7
283,Demon,November 2017 (USA),USA,[],2.7
284,Invoking 4,2017 (USA),USA,[],2.7
285,Election Night,13 October 2017 (USA),USA,['Horror'],2.7
286,Alligator X,16 April 2014 (Belgium),USA,"['Action', 'Adventure']",2.8
287,Exorcism,18 October 2014 (UK),UK,[],2.8
288,American Mummy,4 July 2014 (Australia),USA,[],2.8
289,The Human Centipede III (Final Sequence),18 June 2015 (Taiwan),USA,['Comedy'],2.8
290,"The Darkness, Rage and the Fury",February 2014 (USA),USA,"['Horror', 'Sci-Fi']",2.8
291,The Eugenist,2013 (USA),USA,['Horror'],2.8
292,Eaters,6 October 2015 (USA),USA,[],2.8
293,Perfidia,2 October 2014 (Mexico),Chile,"['Drama', 'Fantasy']",2.8
294,The Amityville Asylum,3 June 2013 (UK),UK,[],2.8
295,Zombie Resurrection,23 March 2015 (UK),UK,[],2.8
296,The Quarantine Hauntings,26 January 2015 (Australia),Australia,['Horror'],2.8
297,Army of Frankensteins,10 November 2013 (USA),USA,"['Adventure', 'Horror']",2.8
298,616: Paranormal Incident,12 February 2013 (USA),USA,[],2.8
299,Mumbai 125 KM 3D,17 October 2014 (India),India,"['Drama', 'Horror']",2.8
300,The Warp,2014 (USA),USA,['Horror'],2.8
301,Knight of the Dead,30 October 2014 (Kuwait),USA,"['Action', 'Fantasy']",2.8
302,Fire Worms,1 March 2016 (USA),USA,[],2.8
303,Cowboy Zombies,22 August 2016 (USA),USA,[],2.8
304,Zombie Killers: Elephant's Graveyard,11 February 2016 (Germany),USA,[],2.8
305,The Possession of Sophie Love,17 September 2013 (USA),UK,[],2.8
306,The Snow Queen,19 November 2013 (Germany),USA,"['Action', 'Adventure']",2.8
307,House of VHS,23 January 2016 (UK),France,"['Fantasy', 'Horror']",2.8
308,Another,6 June 2016 (USA),USA,"['Fantasy', 'Horror']",2.8
309,Milfs vs. Zombies,24 July 2015 (USA),USA,['Comedy'],2.8
310,Angel of Reckoning,20 September 2016 (USA),USA,"['Action', 'Horror']",2.8
311,Dracula's Angel,10 October 2014 (USA),USA,"['Animation', 'Horror']",2.8
312,The Hunting,30 October 2014 (UK),UK,[],2.8
313,But Deliver Us from Evil,27 April 2017 (USA),USA,['Horror'],2.8
314,Ümmü Sibyan: Zifir,21 November 2014 (Turkey),Turkey,[],2.8
315,Ebola Zombies,23 March 2015 (USA),Hong Kong,[],2.8
316,Hunger Z,27 September 2014 (Japan),Japan,['Comedy'],2.8
317,Helsing University,31 October 2015 (USA),USA,[],2.8
318,Mega Shark vs. Kolossus,16 July 2015 (Germany),USA,"['Action', 'Adventure']",2.8
319,Witchcraft 15: Blood Rose,January 2017 (USA),USA,[],2.8
320,Seytan-i Racim 2: Ifrit,5 June 2015 (Turkey),Turkey,['Horror'],2.8
321,Solus,Thriller,USA,[],2.8
322,Jack Logan,30 April 2016 (USA),USA,[],2.8
323,Azazil 2: Büyü,25 March 2016 (Turkey),Turkey,['Horror'],2.8
324,Chudail Story,13 May 2016 (India),India,[],2.8
325,Devil Dog,10 September 2016 (UK),UK,[],2.8
326,Volkswagen Kuning,22 September 2016 (Malaysia),Malaysia,[],2.8
327,House of Evil,2017 (Italy),Italy,[],2.8
328,The Elf,7 November 2017 (USA),USA,[],2.8
329,Grey Zone,Horror,Canada,[],2.8
330,The First Date,26 September 2017 (USA),USA,['Comedy'],2.8
331,The Unseen,October 2017 (USA),,[],2.8
332,Infected,3 October 2014 (Canada),USA,"['Action', 'Horror']",2.9
333,Dead of the Nite,4 April 2013 (UK),UK,[],2.9
334,Toxin,30 January 2015 (USA),USA,"['Drama', 'Horror']",2.9
335,Jonah Lives,18 September 2015 (USA),USA,"['Drama', 'Horror']",2.9
336,Lake Noir,24 March 2015 (USA),USA,['Drama'],2.9
337,Delirium,26 March 2016 (Philippines),USA,[],2.9
338,Fat Planet,24 December 2013 (USA),USA,['Comedy'],2.9
339,Christmas Slay,11 November 2015 (USA),UK,[],2.9
340,Animus,26 March 2013 (USA),USA,['Horror'],2.9
341,Sader Ridge,27 November 2014 (Peru),USA,['Horror'],2.9
342,Lost Time,19 September 2014 (USA),USA,"['Horror', 'Sci-Fi']",2.9
