,title,date,country,genre,rate
0,Maldito Amor,23 October 2014 (Chile),Chile,"['Comedy', 'History']",1.1
1,Yurameku,Romance,Japan,['Fantasy'],1.1
2,Fifty Fifty Ball,Romance,UK,[],1.4
3,Meri Jaan,2 September 2015 (Pakistan),Pakistan,[],1.7
4,Tera Intezaar,1 December 2017 (India),India,['Romance'],1.7
5,StastnÃ¡,18 December 2014 (Czech Republic),Czech Republic,[],1.8
6,Bruder vor Luder,24 December 2015 (Germany),Germany,['Comedy'],1.8
7,Decibely lÃ¡sky,11 February 2016 (Czech Republic),Czech Republic,"['Comedy', 'Musical']",1.8
8,The Hidden Talent,16 March 2016 (USA),USA,['Drama'],1.8
9,Tharle Nan Maklu,15 January 2016 (India),India,['Comedy'],1.8
10,MamÃ¡ ya crecÃ­,13 February 2014 (Chile),Chile,['Comedy'],1.9
11,Super Model,27 September 2013 (India),India,"['Drama', 'Mystery']",2.1
12,Gunday,14 February 2014 (India),India,"['Action', 'Drama']",2.1
13,Bu ai bu san,2014 (China),China,[],2.1
14,Legend of the Red Reaper,August 2013 (USA),Canada,"['Action', 'Adventure']",2.2
15,American Idiots,18 June 2013 (USA),USA,['Comedy'],2.2
16,A Love That Hurts,26 September 2013 (USA),USA,['Drama'],2.2
17,Consideration,26 May 2015 (USA),USA,['Drama'],2.2
18,59,3 November 2015 (UK),UK,"['Drama', 'Music']",2.2
19,Ren'ai kitanshÃ»,4 February 2017 (Japan),Japan,['Horror'],2.2
20,Tian ji: Fu chun shan ju tu,12 June 2013 (Hong Kong),China,"['Action', 'Adventure']",2.3
21,KÃ¶tÃ¼ Ã‡ocuk,20 January 2017 (Turkey),Turkey,[],2.3
22,Princess Daisy,Romance,USA,[],2.4
23,Pao mo zhi xia,21 July 2016 (China),China,[],2.4
24,Balayi,14 February 2014 (Turkey),Turkey,[],2.5
25,Honour Killing,27 February 2015 (UK),UK,['Drama'],2.5
26,Narathan,1 April 2016 (India),India,['Comedy'],2.5
27,Priya Premalo Prem,7 February 2014 (India),India,[],2.5
28,The Best Years,25 April 2013 (UK),UK,"['Comedy', 'Crime']",2.6
29,Ishk Actually,25 October 2013 (India),India,[],2.6
30,Kochaj!,3 June 2016 (Poland),Poland,[],2.6
31,Kiss and Kill,8 August 2017 (USA),USA,"['Drama', 'Mystery']",2.6
32,Shortcut Romeo,21 June 2013 (India),India,"['Action', 'Crime']",2.7
33,The Formula,15 April 2014 (USA),USA,['Comedy'],2.7
34,Celal ile Ceren,18 January 2013 (Turkey),Turkey,['Comedy'],2.7
35,Yaariyan,10 January 2014 (India),India,['Drama'],2.7
36,Onna no ana,28 June 2014 (Japan),Japan,['Comedy'],2.7
37,Xiao shi dai 3: Ci jin shi dai,17 July 2014 (China),China,['Drama'],2.7
38,Kamara Kattu,22 May 2015 (India),India,"['Drama', 'Romance']",2.7
39,Xiao shi dai 4: Ling hun jin tou,9 July 2015 (China),China,['Drama'],2.7
40,Machine,17 March 2017 (India),India,"['Action', 'Mystery']",2.7
41,Deewana Main Deewana,1 February 2013 (India),India,"['Comedy', 'Romance']",2.8
42,Dancin': It's On!,30 October 2015 (USA),USA,"['Family', 'Musical']",2.8
43,Naughty Girls,8 May 2013 (China),China,[],2.8
44,Three Days,30 January 2014 (UK),UK,['Comedy'],2.8
45,Dracula's Angel,10 October 2014 (USA),USA,"['Animation', 'Horror']",2.8
46,Teraa Surroor,11 March 2016 (India),India,"['Action', 'Drama']",2.8
47,"White Lies, Black Lies",15 April 2016 (Taiwan),Taiwan,"['Crime', 'Mystery']",2.8
48,Julie 2,24 November 2017 (India),India,['Drama'],2.8
49,Split,2 August 2016 (USA),USA,"['Comedy', 'Romance']",2.9
50,A ma de meng zhong qing ren,27 February 2013 (Taiwan),Taiwan,['Comedy'],2.9
51,Naiyaandi,11 October 2013 (India),India,['Comedy'],2.9
52,Night Cries,24 March 2015 (Canada),Canada,"['Action', 'Drama']",2.9
53,M.... Matric Pass,19 September 2014 (India),India,['Drama'],2.9
54,Zhi zi hua kai,10 July 2015 (China),China,[],2.9
55,Beiimaan Love,14 October 2016 (India),India,"['Drama', 'Romance']",2.9
56,Xiao shi dai,27 June 2013 (China),China,['Drama'],3.0
57,What Goes Up,19 December 2014 (UK),UK,"['Comedy', 'Romance']",3.0
58,#Nerealnaya lyubov,13 February 2014 (Russia),Russia,['Comedy'],3.0
59,The Condo,2015 (USA),USA,['Comedy'],3.0
60,Mirabilis,19 April 2015 (Spain),Spain,"['Adventure', 'Comedy']",3.0
61,EnamorÃ¡ndome de Abril,6 November 2015 (Mexico),Mexico,[],3.0
62,Stolen Virginity,31 August 2016 (USA),USA,['Drama'],3.0
63,Dokhtar Amoo Va Pesar Amoo,27 December 2017 (Iran),Iran,"['Comedy', 'Drama']",3.0
64,Karle Pyaar Karle,17 January 2014 (India),India,['Action'],3.1
65,Touring Talkies,30 January 2015 (India),India,['Drama'],3.1
66,White,29 July 2016 (India),India,[],3.1
67,Odnoklassnitsy,16 June 2016 (Russia),Russia,['Comedy'],3.1
68,Miss Teacher,18 March 2016 (India),India,[],3.1
69,Melancholy,17 June 2017 (Iran),Iran,"['Drama', 'Mystery']",3.1
70,Chi qing nan zi han,18 August 2017 (Taiwan),Taiwan,['Drama'],3.1
71,Hum Hai Raahi CAR Ke,24 May 2013 (India),India,['Comedy'],3.2
72,Lost for Words,1 July 2015 (France),Hong Kong,['Drama'],3.2
73,Premsutra,19 June 2013 (India),India,[],3.2
74,Sanam Re,12 February 2016 (India),India,['Drama'],3.2
75,Doidas e Santas,26 May 2016 (Argentina),Brazil,"['Comedy', 'Drama']",3.2
76,Prisoners of Time,January 2016 (Switzerland),Canada,"['Action', 'Drama']",3.2
77,One Night Stand,6 May 2016 (India),India,['Drama'],3.2
78,Burn Your Name,Romance,Canada,[],3.2
79,Feng yun gao shou,8 July 2016 (Taiwan),Taiwan,"['Comedy', 'Romance']",3.2
80,limp.,October 2013 (Ireland),Ireland,['Horror'],3.3
81,Dry Spell,14 February 2013 (USA),USA,['Comedy'],3.3
82,Roy,12 February 2015 (Kuwait),India,"['Action', 'Drama']",3.3
83,Xiao shi dai 2: Qing mu shi dai,10 September 2013 (Hong Kong),China,['Drama'],3.3
84,The Secret Path,June 2014 (USA),UK,"['Fantasy', 'History']",3.3
85,Bir Baba Hindu,29 September 2016 (Germany),Turkey,"['Action', 'Adventure']",3.3
86,SPF-18,29 September 2017 (USA),USA,[],3.3
87,Kalo Bhromor,Thriller,India,[],3.3
88,Komik bir ask hikayesi,5 July 2013 (Turkey),Turkey,['Comedy'],3.4
89,Time of the Month,2013 (USA),USA,[],3.4
90,Abby in the Summer,6 May 2014 (USA),USA,['Drama'],3.4
91,"A.D.N., l'Ã¢me de la terre",10 September 2014 (France),France,"['Drama', 'Fantasy']",3.4
92,Universitari - Molto piÃ¹ che amici,26 September 2013 (Italy),Italy,['Comedy'],3.4
93,Rough Cut,16 October 2015 (UK),UK,"['Action', 'Crime']",3.4
94,John Lives Again,1 April 2017 (USA),Canada,['Comedy'],3.4
95,Shi jian dou qu na le,7 August 2015 (China),China,['Drama'],3.4
96,My Beautiful Kingdom,13 December 2013 (China),China,[],3.4
97,Ji guang zhi ai,19 December 2014 (Taiwan),Taiwan,[],3.4
98,Black Tar Road,28 July 2016 (USA),USA,"['Crime', 'Drama']",3.5
99,Rajjo,15 November 2013 (India),India,['Drama'],3.5
100,Tie the Knot,21 February 2017 (USA),USA,"['Comedy', 'Drama']",3.5
101,Barrio Universitario,25 July 2013 (Chile),Chile,['Comedy'],3.5
102,A Demon Within,12 January 2018 (USA),USA,"['Drama', 'Horror']",3.5
103,Courageous Love,14 February 2017 (USA),USA,['Drama'],3.5
